Embryo	Sample	Stage	Day	lineage	Cell
E5_1	E5.1.26	E5	E5	Inner cell mass	26
E5_1	E5.1.28	E5	E5	trophectoderm	28
E5_1	E5.1.30	E5	E5	trophectoderm	30
E5_1	E5.1.31	E5	E5	Inner cell mass	31
E5_1	E5.1.32	E5	E5	trophectoderm	32
E5_10	E5.10.932	E5	E5	trophectoderm	932
E5_10	E5.10.933	E5	E5	trophectoderm	933
E5_10	E5.10.934	E5	E5	trophectoderm	934
E5_10	E5.10.935	E5	E5	trophectoderm	935
E5_10	E5.10.936	E5	E5	trophectoderm	936
E5_10	E5.10.937	E5	E5	trophectoderm	937
E5_10	E5.10.938	E5	E5	trophectoderm	938
E5_10	E5.10.939	E5	E5	trophectoderm	939
E5_10	E5.10.940	E5	E5	Inner cell mass	940
E5_10	E5.10.941	E5	E5	Inner cell mass	941
E5_10	E5.10.942	E5	E5	Inner cell mass	942
E5_10	E5.10.943	E5	E5	trophectoderm	943
E5_10	E5.10.944	E5	E5	trophectoderm	944
E5_10	E5.10.947	E5	E5	Inner cell mass	947
E5_10	E5.10.948	E5	E5	Inner cell mass	948
E5_10	E5.10.949	E5	E5	trophectoderm	949
E5_10	E5.10.950	E5	E5	Inner cell mass	950
E5_11	E5.11.951	E5	E5	trophectoderm	951
E5_11	E5.11.952	E5	E5	trophectoderm	952
E5_11	E5.11.953	E5	E5	Inner cell mass	953
E5_11	E5.11.955	E5	E5	Inner cell mass	955
E5_11	E5.11.956	E5	E5	Inner cell mass	956
E5_11	E5.11.959	E5	E5	Inner cell mass	959
E5_11	E5.11.960	E5	E5	Inner cell mass	960
E5_11	E5.11.961	E5	E5	Inner cell mass	961
E5_11	E5.11.962	E5	E5	Inner cell mass	962
E5_11	E5.11.963	E5	E5	Inner cell mass	963
E5_11	E5.11.964	E5	E5	Inner cell mass	964
E5_11	E5.11.965	E5	E5	Inner cell mass	965
E5_12	E5.12.1027	E5	E5	trophectoderm	1027
E5_12	E5.12.1029	E5	E5	trophectoderm	1029
E5_12	E5.12.1031	E5	E5	trophectoderm	1031
E5_12	E5.12.1033	E5	E5	trophectoderm	1033
E5_12	E5.12.1034	E5	E5	trophectoderm	1034
E5_12	E5.12.1035	E5	E5	trophectoderm	1035
E5_12	E5.12.1036	E5	E5	trophectoderm	1036
E5_12	E5.12.1037	E5	E5	trophectoderm	1037
E5_12	E5.12.1038	E5	E5	trophectoderm	1038
E5_12	E5.12.1039	E5	E5	trophectoderm	1039
E5_12	E5.12.1041	E5	E5	trophectoderm	1041
E5_12	E5.12.1042	E5	E5	trophectoderm	1042
E5_13	E5.13.1750	E5	E5	trophectoderm	1750
E5_13	E5.13.1751	E5	E5	trophectoderm	1751
E5_13	E5.13.1752	E5	E5	trophectoderm	1752
E5_13	E5.13.1753	E5	E5	trophectoderm	1753
