Sample ID	Day	Embryo ID	Group
D6A1S1	D6	D6A1	ICM
D6A1S2	D6	D6A1	EPI
D6A1S3	D6	D6A1	ICM
D6A1S4	D6	D6A1	ICM
D6A1B1	D6	D6A1	ICM
D6A1B2	D6	D6A1	ICM
D6A2S6	D6	D6A2	ICM
D6A2S7	D6	D6A2	ICM
D6A2S8	D6	D6A2	ICM
D6A2B1	D6	D6A2	ICM
D6A2B2	D6	D6A2	EPI
D6A2B4	D6	D6A2	ICM
D6A3S1	D6	D6A3	ICM
D6A3S3	D6	D6A3	PrE
D6A3S4	D6	D6A3	EPI
D6A3S5	D6	D6A3	ICM
D6A3B1	D6	D6A3	ICM
D6A3B2	D6	D6A3	ICM
D6A4S4	D6	D6A4	ICM
D6A4S5	D6	D6A4	ICM
D6A4S6	D6	D6A4	ICM
D6A4S7	D6	D6A4	ICM
D6A4B3	D6	D6A4	ICM
D6A4B4	D6	D6A4	ICM
D6A5S1	D6	D6A5	ICM
D6A5S7	D6	D6A5	ICM
D6A5S8	D6	D6A5	EPI
D6A5B3	D6	D6A5	ICM
D6A5B4	D6	D6A5	ICM
D6N1B23	D6	D6N1	ICM
D6N1B6	D6	D6N1	ICM
D6N1S15	D6	D6N1	EPI
D6N1S1	D6	D6N1	EPI
D6N1S19	D6	D6N1	ICM
D6N1S33	D6	D6N1	EPI
D6N1S34	D6	D6N1	EPI
D6N1S35	D6	D6N1	ICM
D6N1S3	D6	D6N1	EPI
D6N1S39	D6	D6N1	PrE
D6N1S42	D6	D6N1	EPI
D6N1S4	D6	D6N1	EPI
D6N1S9	D6	D6N1	EPI
D6N2B11	D6	D6N2	ICM
D6N2B12	D6	D6N2	ICM
D6N2B1	D6	D6N2	EPI
D6N2B18	D6	D6N2	EPI
D6N2B2	D6	D6N2	EPI
D6N2B28	D6	D6N2	ICM
D6N2B7	D6	D6N2	ICM
D6N2B8	D6	D6N2	EPI
D6N2S11	D6	D6N2	EPI
D6N2S2	D6	D6N2	EPI
D6N2S35	D6	D6N2	EPI
D6N3B12	D6	D6N3	EPI
D6N3B7	D6	D6N3	EPI
D6N3S11	D6	D6N3	EPI
D6N3S22	D6	D6N3	EPI
D6N3S2	D6	D6N3	EPI
D6N3S28	D6	D6N3	EPI
D6N3S35	D6	D6N3	EPI
D6N3S40	D6	D6N3	EPI
D6N3S51	D6	D6N3	EPI
D7A1B1	D7	D7A1	ICM
D7A1B3	D7	D7A1	ICM
D7A1B5	D7	D7A1	CTB
D7A1B7	D7	D7A1	ICM
D7A1B8	D7	D7A1	ICM
D7A1S11	D7	D7A1	CTB
D7A1S13	D7	D7A1	EPI
