Sample	Day	Embryo	lineage	Cell
D6A1S1	D6	D6A1	ICM	1
D6A1S2	D6	D6A1	EPI	2
D6A1S3	D6	D6A1	ICM	3
D6A1S4	D6	D6A1	ICM	4
D6A1B1	D6	D6A1	ICM	5
D6A1B2	D6	D6A1	ICM	6
D6A2S6	D6	D6A2	ICM	7
D6A2S7	D6	D6A2	ICM	8
D6A2S8	D6	D6A2	ICM	9
D6A2B1	D6	D6A2	ICM	10
D6A2B2	D6	D6A2	EPI	11
D6A2B4	D6	D6A2	ICM	12
D6A3S1	D6	D6A3	ICM	13
D6A3S3	D6	D6A3	PrE	14
D6A3S4	D6	D6A3	EPI	15
D6A3S5	D6	D6A3	ICM	16
D6A3B1	D6	D6A3	ICM	17
D6A3B2	D6	D6A3	ICM	18
D6A4S4	D6	D6A4	ICM	19
D6A4S5	D6	D6A4	ICM	20
D6A4S6	D6	D6A4	ICM	21
D6A4S7	D6	D6A4	ICM	22
D6A4B3	D6	D6A4	ICM	23
D6A4B4	D6	D6A4	ICM	24
D6A5S1	D6	D6A5	ICM	25
D6A5S7	D6	D6A5	ICM	26
D6A5S8	D6	D6A5	EPI	27
D6A5B3	D6	D6A5	ICM	28
D6A5B4	D6	D6A5	ICM	29
D6N1B23	D6	D6N1	ICM	30
D6N1B6	D6	D6N1	ICM	31
D6N1S15	D6	D6N1	EPI	32
D6N1S1	D6	D6N1	EPI	33
D6N1S19	D6	D6N1	ICM	34
D6N1S33	D6	D6N1	EPI	35
D6N1S34	D6	D6N1	EPI	36
D6N1S35	D6	D6N1	ICM	37
D6N1S3	D6	D6N1	EPI	38
D6N1S39	D6	D6N1	PrE	39
D6N1S42	D6	D6N1	EPI	40
D6N1S4	D6	D6N1	EPI	41
D6N1S9	D6	D6N1	EPI	42
D6N2B11	D6	D6N2	ICM	43
D6N2B12	D6	D6N2	ICM	44
D6N2B1	D6	D6N2	EPI	45
D6N2B18	D6	D6N2	EPI	46
D6N2B2	D6	D6N2	EPI	47
D6N2B28	D6	D6N2	ICM	48
D6N2B7	D6	D6N2	ICM	49
D6N2B8	D6	D6N2	EPI	50
D6N2S11	D6	D6N2	EPI	51
D6N2S2	D6	D6N2	EPI	52
D6N2S35	D6	D6N2	EPI	53
D6N3B12	D6	D6N3	EPI	54
D6N3B7	D6	D6N3	EPI	55
D6N3S11	D6	D6N3	EPI	56
D6N3S22	D6	D6N3	EPI	57
D6N3S2	D6	D6N3	EPI	58
D6N3S28	D6	D6N3	EPI	59
D6N3S35	D6	D6N3	EPI	60
D6N3S40	D6	D6N3	EPI	61
D6N3S51	D6	D6N3	EPI	62
D7A1B1	D7	D7A1	ICM	63
D7A1B3	D7	D7A1	ICM	64
D7A1B5	D7	D7A1	CTB	65
D7A1B7	D7	D7A1	ICM	66
D7A1B8	D7	D7A1	ICM	67
D7A1S11	D7	D7A1	CTB	68
