Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM4050122	"Embryo_D6A1S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774439"	SRX6774439	"Tianqing Li"	"Nov 26, 2019"
GSM4050123	"Embryo_D6A1S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774440"	SRX6774440	"Tianqing Li"	"Nov 26, 2019"
GSM4050124	"Embryo_D6A1S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774441"	SRX6774441	"Tianqing Li"	"Nov 26, 2019"
GSM4050125	"Embryo_D6A1S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774442"	SRX6774442	"Tianqing Li"	"Nov 26, 2019"
GSM4050126	"Embryo_D6A1B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774443"	SRX6774443	"Tianqing Li"	"Nov 26, 2019"
GSM4050127	"Embryo_D6A1B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774444"	SRX6774444	"Tianqing Li"	"Nov 26, 2019"
GSM4050128	"Embryo_D6A2S6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774445"	SRX6774445	"Tianqing Li"	"Nov 26, 2019"
GSM4050129	"Embryo_D6A2S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774446"	SRX6774446	"Tianqing Li"	"Nov 26, 2019"
GSM4050130	"Embryo_D6A2S8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774895"	SRX6774895	"Tianqing Li"	"Nov 26, 2019"
GSM4050131	"Embryo_D6A2B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774896"	SRX6774896	"Tianqing Li"	"Nov 26, 2019"
