Run_accession	Sample.Name	Embryo.Name	Lineage	Sex	Day	Embryo
HRR052684	Epi_Female_hv_Vol11_D6_IVC1_E4_B1_19	Female_hv_Vol11_D6_IVC1_E4	EPI	Female	D06	E04
HRR052685	Epi_Female_hv_Vol11_D6_IVC1_E4_B1_21	Female_hv_Vol11_D6_IVC1_E4	EPI	Female	D06	E04
HRR052686	Epi_Female_hv_Vol11_D6_IVC1_E4_B1_43	Female_hv_Vol11_D6_IVC1_E4	EPI	Female	D06	E04
HRR052687	Epi_Female_hv_Vol11_D6_IVC1_E4_B1_67	Female_hv_Vol11_D6_IVC1_E4	EPI	Female	D06	E04
HRR052688	Epi_Female_hv_Vol11_D6_IVC1_E4_B1_68	Female_hv_Vol11_D6_IVC1_E4	EPI	Female	D06	E04
HRR052689	Epi_Female_hv_Vol12_D10_IVC4_E7_B1_30	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052690	Epi_Female_hv_Vol12_D10_IVC4_E7_B1_37	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052691	EPI_Female_hv_Vol12_D10_IVC4_E7_B1_39	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052692	EPI_Female_hv_Vol12_D10_IVC4_E7_B1_42	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052693	EPI_Female_hv_Vol12_D10_IVC4_E7_B1_55	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052694	EPI_Female_hv_Vol12_D10_IVC4_E7_B1_65	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052695	Epi_Female_hv_Vol12_D10_IVC4_E7_B1_66	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052696	EPI_Female_hv_Vol12_D10_IVC4_E7_B1_68	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052697	Epi_Female_hv_Vol12_D10_IVC4_E7_B1_72	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052698	Epi_Female_hv_Vol12_D10_IVC4_E7_B1_88	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
HRR052699	Epi_Female_hv_Vol12_D10_IVC4_E7_B2_12	Female_hv_Vol12_D10_IVC4_E7	EPI	Female	D10	E07
